b0001,thrL
b0002,thrA
b0003,thrB
b0004,thrC
b0005,yaaX
b0006,yaaA
b0007,yaaJ
b0008,talB
b0009,mog
b0010,yaaH
b0011,yaaW
b0013,yaaI
b0014,dnaK
b0015,dnaJ
b0016,insL
b0018,mokC
b4412,hokC
b4413,sokC
b0019,nhaA
b0020,nhaR
b0021,insB
b0022,insA
b0023,rpsT
b0024,yaaY
b0025,ribF
b0026,ileS
b0027,lspA
b0028,fkpB
b0029,ispH
b0030,rihC
b0031,dapB
b0032,carA
b0033,carB
b0034,caiF
b0035,caiE
b0036,caiD
b0037,caiC
b0038,caiB
b0039,caiA
b0040,caiT
b0041,fixA
b0042,fixB
b0043,fixC
b0044,fixX
b0045,yaaU
b0046,kefF
b0047,kefC
b0048,folA
b0049,apaH
b0050,apaG
b0051,rsmA
b0052,pdxA
b0053,surA
b0054,lptD
b0055,djlA
b4659,yabP
b0058,rluA
b0059,rapA
b0060,polB
b0061,araD
b0062,araA
b0063,araB
b0064,araC
b0065,yabI
b0066,thiQ
b0067,thiP
b0068,thiB
b0069,sgrR
b4577,sgrS
b4662,sgrT
b0070,setA
b0071,leuD
b0072,leuC
b0073,leuB
b0074,leuA
b0075,leuL
b0076,leuO
b0077,ilvI
b0078,ilvH
b0080,cra
b0081,mraZ
b0082,rsmH
b0083,ftsL
b0084,ftsI
b0085,murE
b0086,murF
b0087,mraY
b0088,murD
b0089,ftsW
b0090,murG
b0091,murC
b0092,ddlB
b0093,ftsQ
b0094,ftsA
b0095,ftsZ
b0096,lpxC
b0097,secM
b0098,secA
b0099,mutT
b0101,yacG
b0102,yacF
b0103,coaE
b0104,guaC
b0106,hofC
b0107,hofB
b0108,ppdD
b0109,nadC
b0110,ampD
b0111,ampE
b0112,aroP
b0113,pdhR
b0114,aceE
b0115,aceF
b0116,lpd
b0117,yacH
b0118,acnB
b0119,yacL
b0120,speD
b0121,speE
b0122,yacC
b0123,cueO
b0124,gcd
b0125,hpt
b0126,can
b0127,yadG
b0128,yadH
b0129,yadI
b0130,yadE
b0131,panD
b0132,yadD
b0133,panC
b0134,panB
b0135,yadC
b0136,yadK
b0137,yadL
b0138,yadM
b0139,htrE
b0140,ecpD
b0141,yadN
b0142,folK
b0143,pcnB
b0144,gluQ
b0145,dksA
b0146,sfsA
b0147,ligT
b0148,hrpB
b0149,mrcB
b0150,fhuA
b0151,fhuC
b0152,fhuD
b0153,fhuB
b0154,hemL
b0155,clcA
b0156,erpA
b0157,yadS
b0158,btuF
b0159,mtn
b0160,dgt
b0161,degP
b0162,cdaR
b0163,yaeH
b0164,yaeI
b0166,dapD
b0167,glnD
b0168,map
b4414,tff
b0169,rpsB
b0170,tsf
b0171,pyrH
b0172,frr
b0173,dxr
b0174,ispU
b0175,cdsA
b0176,rseP
b0177,bamA
b0178,skp
b0179,lpxD
b0180,fabZ
b0181,lpxA
b0182,lpxB
b0183,rnhB
b0184,dnaE
b0185,accA
b0186,ldcC
b0187,yaeR
b0188,tilS
b0189,rof
b4406,yaeP
b0190,yaeQ
b0191,yaeJ
b0192,nlpE
b0193,yaeF
b0194,proS
b0195,yaeB
b0196,rcsF
b0197,metQ
b0198,metI
b0199,metN
b0200,gmhB
b0201,rrsH
b0202,ileV
b0203,alaV
b0204,rrlH
b0205,rrfH
b0206,aspU
b0207,dkgB
b0208,yafC
b0209,yafD
b0210,yafE
b0211,mltD
b0212,gloB
b0213,yafS
b0214,rnhA
b0215,dnaQ
b0216,aspV
b0217,yafT
b4586,ykfM
b0218,yafU
b4503,yafF
b0219,yafV
b0220,ivy
b0221,fadE
b0222,lpcA
b0223,yafJ
b0224,yafK
b0225,yafQ
b0226,dinJ
b0227,yafL
b0228,rayT
b0229,lfhA
b0230,lafU
b0231,dinB
b0232,yafN
b0233,yafO
b0234,yafP
b0235,ykfJ
b0236,prfH
b0237,pepD
b0238,gpt
b0239,frsA
b0240,crl
b0241,phoE
b0242,proB
b0243,proA
b0244,thrW
b4626,ykfN
b0245,ykfI
b0246,yafW
b4504,ykfH
b0247,ykfG
b0248,yafX
b0249,ykfF
b0250,ykfB
b0251,yafY
b4627,ykfL
b4628,ykfK
b0252,yafZ
b0253,ykfA
b0254,perR
b4587,insN
b0256,insI
b4690,eyeA
b0258,ykfC
b0259,insH
b0260,mmuP
b0261,mmuM
b0262,afuC
b0263,afuB
b0264,insB
b0265,insA
b4505,insX
b0266,yagB
b0267,yagA
b0268,yagE
b0269,yagF
b0270,yagG
b0271,yagH
b0272,yagI
b0273,argF
b4688,ykgS
b0274,insB
b0275,insA
b0276,yagJ
b0277,yagK
b0278,yagL
b0279,yagM
b0280,yagN
b0281,intF
b4629,ptwF
b4694,yagP
b4695,ykgT
b0283,paoD
b0284,paoC
b0285,paoB
b0286,paoA
b0287,yagU
b0288,ykgJ
b0289,yagV
b0290,yagW
b0291,yagX
b0292,matC
b0293,matB
b0294,matA
b0295,ykgL
b4506,ykgO
b0296,ykgM
b4671,ykgR
b4630,ykgP
b0297,eaeH
b0298,insE
b0299,insF
b0300,ykgA
b4631,ykgQ
b0301,ykgB
b0303,ykgI
b0304,ykgC
b0305,ykgD
b0306,ykgE
b0307,ykgF
b0308,ykgG
b0310,ykgH
b0311,betA
b0312,betB
b0313,betI
b0314,betT
b0315,yahA
b0316,yahB
b0317,yahC
b0318,yahD
b0319,yahE
b0320,yahF
b0321,yahG
b0323,yahI
b0324,yahJ
b0325,yahK
b0326,yahL
b0327,yahM
b0328,yahN
b0329,yahO
b0330,prpR
b0331,prpB
b0333,prpC
b0334,prpD
b0335,prpE
b0336,codB
b0337,codA
b0338,cynR
b0339,cynT
b0340,cynS
b0341,cynX
b0342,lacA
b0343,lacY
b0344,lacZ
b0345,lacI
b0346,mhpR
b0347,mhpA
b0348,mhpB
b0349,mhpC
b0350,mhpD
b0351,mhpF
b0352,mhpE
b0353,mhpT
b0354,yaiL
b0355,frmB
b0356,frmA
b0357,frmR
b0358,yaiO
b4579,yaiX
b0360,insC
b0361,insD
b0363,yaiP
b0364,yaiS
b0365,tauA
b0366,tauB
b0367,tauC
b0368,tauD
b0369,hemB
b4580,yaiT
b0372,insF
b0373,insE
b0375,yaiV
